0<=x<30; y0=58+0.633333x; interpolation
30<=x<60; y1=94+-0.566667x; interpolation
60<=x<90; y2=22+0.633333x; interpolation
90<=x<120; y3=121+-0.466667x; interpolation
120<=x<150; y4=17+0.4x; interpolation
150<=x<180; y5=97+-0.133333x; interpolation
180<=x<210; y6=37+0.2x; interpolation
210<=x<240; y7=121+-0.2x; interpolation
240<=x<270; y8=25+0.2x; interpolation
270<=x<300; y9=124+-0.166667x; interpolation
300<=x<330; y10=174+-0.333333x; interpolation
330<=x<360; y11=-90+0.466667x; interpolation
360<=x<390; y12=270+-0.533333x; interpolation
390<=x<420; y13=49+0.0333333x; interpolation
420<=x<450; y14=-105+0.4x; interpolation
450<=x<480; y15=-15+0.2x; interpolation
480<=x<510; y16=353+-0.566667x; interpolation
510<=x<540; y17=98+-0.0666667x; interpolation
540<=x<570; y18=-280+0.633333x; interpolation
570<=x<600; y19=518+-0.766667x; interpolation
600<=x<630; y20=-62+0.2x; interpolation
630<=x<660; y21=106+-0.0666667x; interpolation
660<=x<690; y22=-356+0.633333x; interpolation
690<=x<720; y23=81+0x; interpolation
720<=x<750; y24=489+-0.566667x; interpolation
750<=x<780; y25=-361+0.566667x; interpolation
780<=x<810; y26=107+-0.0333333x; interpolation
810<=x<840; y27=134+-0.0666667x; interpolation
840<=x<870; y28=-6+0.1x; interpolation
870<=x<900; y29=81+0x; interpolation
900<=x<930; y30=51+0.0333333x; interpolation
930<=x<960; y31=51+0.0333333x; interpolation
960<=x<990; y32=147+-0.0666667x; interpolation
990<=x<1020; y33=114+-0.0333333x; interpolation
1020<=x<1050; y34=658+-0.566667x; interpolation
1050<=x<1080; y35=98+-0.0333333x; interpolation
1080<=x<1110; y36=-514+0.533333x; interpolation
1110<=x<1140; y37=4+0.0666667x; interpolation
1140<=x<1170; y38=194+-0.1x; interpolation
1170<=x<1200; y39=-79+0.133333x; interpolation
1200<=x<1230; y40=161+-0.0666667x; interpolation
1230<=x<1260; y41=38+0.0333333x; interpolation
1260<=x<1290; y42=80+0x; interpolation
1290<=x<1320; y43=123+-0.0333333x; interpolation
1320<=x<1350; y44=739+-0.5x; interpolation
1350<=x<1380; y45=154+-0.0666667x; interpolation
1380<=x<1410; y46=-30+0.0666667x; interpolation
1410<=x<1440; y47=-453+0.366667x; interpolation
1440<=x<1470; y48=-165+0.166667x; interpolation
1470<=x<1500; y49=-18+0.0666667x; interpolation
1500<=x<1530; y50=1482+-0.933333x; interpolation
1530<=x<1560; y51=-354+0.266667x; interpolation
1560<=x<1590; y52=-770+0.533333x; interpolation
1590<=x<1620; y53=-81+0.1x; interpolation
1620<=x<1650; y54=81+0x; interpolation
1650<=x<1680; y55=1126+-0.633333x; interpolation
1680<=x<1710; y56=-890+0.566667x; interpolation
1710<=x<1740; y57=1048+-0.566667x; interpolation
1740<=x<1770; y58=4+0.0333333x; interpolation
1770<=x<1800; y59=122+-0.0333333x; interpolation
1800<=x<1830; y60=-898+0.533333x; interpolation
1830<=x<1860; y61=1115+-0.566667x; interpolation
1860<=x<1890; y62=-125+0.1x; interpolation
1890<=x<1920; y63=-1070+0.6x; interpolation
1920<=x<1950; y64=1234+-0.6x; interpolation
