0<=x<30; y0=63+0.6x; interpolation
30<=x<60; y1=99+-0.6x; interpolation
60<=x<90; y2=25+0.633333x; interpolation
90<=x<120; y3=121+-0.433333x; interpolation
120<=x<150; y4=21+0.4x; interpolation
150<=x<180; y5=96+-0.1x; interpolation
180<=x<210; y6=42+0.2x; interpolation
210<=x<240; y7=133+-0.233333x; interpolation
240<=x<270; y8=45+0.133333x; interpolation
270<=x<300; y9=99+-0.0666667x; interpolation
300<=x<330; y10=189+-0.366667x; interpolation
330<=x<360; y11=-97+0.5x; interpolation
360<=x<390; y12=275+-0.533333x; interpolation
390<=x<420; y13=67+0x; interpolation
420<=x<450; y14=-157+0.533333x; interpolation
450<=x<480; y15=83+0x; interpolation
480<=x<510; y16=339+-0.533333x; interpolation
510<=x<540; y17=67+0x; interpolation
540<=x<570; y18=-221+0.533333x; interpolation
570<=x<600; y19=406+-0.566667x; interpolation
600<=x<630; y20=26+0.0666667x; interpolation
630<=x<660; y21=110+-0.0666667x; interpolation
660<=x<690; y22=-374+0.666667x; interpolation
690<=x<720; y23=201+-0.166667x; interpolation
720<=x<750; y24=393+-0.433333x; interpolation
750<=x<780; y25=-332+0.533333x; interpolation
780<=x<810; y26=84+0x; interpolation
810<=x<840; y27=111+-0.0333333x; interpolation
840<=x<870; y28=83+0x; interpolation
870<=x<900; y29=141+-0.0666667x; interpolation
900<=x<930; y30=-69+0.166667x; interpolation
930<=x<960; y31=179+-0.1x; interpolation
960<=x<990; y32=51+0.0333333x; interpolation
990<=x<1020; y33=117+-0.0333333x; interpolation
1020<=x<1050; y34=627+-0.533333x; interpolation
1050<=x<1080; y35=137+-0.0666667x; interpolation
1080<=x<1110; y36=-583+0.6x; interpolation
1110<=x<1140; y37=157+-0.0666667x; interpolation
1140<=x<1170; y38=43+0.0333333x; interpolation
1170<=x<1200; y39=82+0x; interpolation
1200<=x<1230; y40=202+-0.1x; interpolation
1230<=x<1260; y41=-126+0.166667x; interpolation
1260<=x<1290; y42=126+-0.0333333x; interpolation
1290<=x<1320; y43=126+-0.0333333x; interpolation
1320<=x<1350; y44=742+-0.5x; interpolation
1350<=x<1380; y45=112+-0.0333333x; interpolation
1380<=x<1410; y46=-26+0.0666667x; interpolation
1410<=x<1440; y47=-402+0.333333x; interpolation
1440<=x<1470; y48=-210+0.2x; interpolation
1470<=x<1500; y49=231+-0.1x; interpolation
1500<=x<1530; y50=1131+-0.7x; interpolation
1530<=x<1560; y51=-144+0.133333x; interpolation
1560<=x<1590; y52=-872+0.6x; interpolation
1590<=x<1620; y53=82+0x; interpolation
1620<=x<1650; y54=28+0.0333333x; interpolation
1650<=x<1680; y55=1073+-0.6x; interpolation
1680<=x<1710; y56=-887+0.566667x; interpolation
1710<=x<1740; y57=994+-0.533333x; interpolation
1740<=x<1770; y58=-50+0.0666667x; interpolation
1770<=x<1800; y59=127+-0.0333333x; interpolation
1800<=x<1830; y60=-893+0.533333x; interpolation
1830<=x<1860; y61=1364+-0.7x; interpolation
1860<=x<1890; y62=-248+0.166667x; interpolation
1890<=x<1920; y63=-941+0.533333x; interpolation
1920<=x<1950; y64=979+-0.466667x; interpolation
1950<=x<1980; y65=264+-0.1x; interpolation
1980<=x<2010; y66=-66+0.0666667x; interpolation
2010<=x<2040; y67=135+-0.0333333x; interpolation
2040<=x<2070; y68=-1+0.0333333x; interpolation
2070<=x<2100; y69=-967+0.5x; interpolation
2100<=x<2130; y70=363+-0.133333x; interpolation
2130<=x<2160; y71=3700+-1.7x; interpolation
2160<=x<2190; y72=172+-0.0666667x; interpolation
2190<=x<2220; y73=-3916+1.8x; interpolation
2220<=x<2250; y74=1042+-0.433333x; interpolation
2250<=x<2280; y75=-833+0.4x; interpolation
2280<=x<2310; y76=915+-0.366667x; interpolation
2310<=x<2340; y77=-1010+0.466667x; interpolation
2340<=x<2370; y78=4+0.0333333x; interpolation
2370<=x<2400; y79=1426+-0.566667x; interpolation
2400<=x<2430; y80=-1374+0.6x; interpolation
2430<=x<2460; y81=246+-0.0666667x; interpolation
2460<=x<2490; y82=1148+-0.433333x; interpolation
2490<=x<2520; y83=318+-0.1x; interpolation
2520<=x<2550; y84=-186+0.1x; interpolation
2550<=x<2580; y85=-1206+0.5x; interpolation
2580<=x<2610; y86=256+-0.0666667x; interpolation
2610<=x<2640; y87=1387+-0.5x; interpolation
2640<=x<2670; y88=-21+0.0333333x; interpolation
